Title,Domain,Theme,TagScore,CadenceDays,LastReviewed,Owner,Active,RecencyDays,EvidenceType,Synonyms,MustInclude,Exclude,Notes
Alcohol-free effects / alcohol alternatives (buzz without ethanol),Brewing & Process,NOLO/Alcohol alternatives,98,7,2026-03-08,,Yes,14,Paper,alcohol alternative; alcohol-free buzz; alcohol substitute; GABA beer; kava beverage; adaptogenic drink; functional beverage relaxation,beverage; alcohol-free,spirits; intoxication promotion,R&D core: efecto similar al alcohol sin alcohol (seguro)
Non-alcoholic beer process innovation,Brewing & Process,NOLO/Process,95,7,2026-03-09,,Yes,14,Paper,dealcoholization; vacuum distillation; reverse osmosis; pervaporation; spinning cone; arrested fermentation; membrane distillation,beer; non-alcoholic,wine,
"NOLO sensory improvement (body, foam, aroma)",Brewing & Process,NOLO/Sensory,95,7,2026-03-09,,Yes,21,Paper,mouthfeel; foam stability; aroma retention; staling; off-flavor; aldehydes; worty flavor,non-alcoholic; beer,,
"Off-flavors in beer (metallic, phenolic, sulfur)",Brewing & Process,Quality/Sensory,92,7,2026-03-04,,Yes,30,Paper,metallic off-flavor; phenolic off-flavor; sulfur off-flavor; dimethyl sulfide; DMS; diacetyl; 4-vinyl guaiacol,beer; off-flavor,,"from ideation: óhmicas, metálico"
Gushing prediction and mitigation,Brewing & Process,Quality/Stability,90,7,2026-03-07,,Yes,60,Paper,beer gushing; overfoaming; foaming instability; Fusarium; hydrophobins,beer; gushing,,
Beer haze & colloidal stability,Brewing & Process,Quality/Stability,88,7,2026-03-06,,Yes,60,Paper,haze formation; colloidal stability; chill haze; polyphenol-protein complexes; silica gel; PVPP alternatives,beer; haze,,
Beer oxidation & shelf-life markers,Brewing & Process,Quality/Stability,88,7,2026-03-06,,Yes,60,Paper,beer staling; oxidation markers; aldehydes; trans-2-nonenal; oxygen scavengers,beer; shelf-life,,
"CIP alternatives (chemical-free, enzyme, ozone, electrolyzed water)",Brewing & Process,CIP/Cleaning,92,7,2026-03-09,,Yes,60,Paper,enzymatic CIP; ozone CIP; electrolyzed water; plasma cleaning; UV-C sanitation; chemical-free cleaning,CIP; brewery,household,
Biofilm control in breweries,Brewing & Process,Hygiene/Microbiology,90,7,2026-03-05,,Yes,90,Paper,brewery biofilms; sanitation microbiology; spoilage bacteria; Pediococcus; Lactobacillus; wild yeast,brewery; biofilm,,
Micro/nanobubbles for hygiene and process,Brewing & Process,Process Intensification,85,7,2026-03-04,,Yes,90,Paper,microbubbles; nanobubbles; biofilm removal; disinfection; mass transfer,brewery; process,,
